CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
0,1980,530-47-1866,3.0,2013-05-21,savings
1,no date,682-76-9175,42.0,2041-09-13,savings
2,1987-11-29,377-98-9839,,1994-08-31,checking
3,2009-07-01,474-05-7613,20.0,2019-11-04,cd
4,2014-02-12,750-55-5509,36.0,2015-03-23,savings
5,1996-06-27,671-43-0485,68.0,2010-04-12,savings
6,1951-10-10,288-62-9296,80.0,2022-05-15,savings
7,1983-06-29,593-49-1249,47.0,2019-10-21,savings
8,1996-06-05,121-74-2917,10.0,1997-06-15,cd
9,1968-08-11,844-31-4793,94.0,2012-07-07,checking
10,1965-06-08,857-15-1139,91.0,2021-02-03,cd
11,2017-12-27,509-92-0704,43.0,2047-12-12,savings
12,1981-05-29,698-04-7583,63.0,2027-08-17,savings
13,1990-07-09,304-91-3605,31.0,2056-05-13,savings
14,1964-05-26,058-28-9758,20.0,2029-06-11,savings
15,1975-03-31,417-04-6784,70.0,2001-08-11,cd
16,1967-12-25,527-61-9953,9.0,1992-06-06,checking
17,1962-03-03,377-72-0498,60.0,1974-07-13,savings
18,2003-01-16,745-86-2436,91.0,2021-06-19,cd
19,1951-08-10,412-73-9490,35.0,1960-08-12,savings
20,1988-09-10,953-24-6512,83.0,2016-07-12,savings
21,2008-10-29,972-63-5997,76.0,2013-02-07,savings
22,1970-10-24,550-58-6755,18.0,2039-05-11,cd
23,1980-04-12,939-09-9746,74.0,2057-08-16,checking
24,1952-01-10,041-33-6362,98.0,2005-06-07,cd
25,2008-03-23,973-93-1469,97.0,2058-02-11,cd
26,1964-10-24,239-29-2784,43.0,2008-11-02,cd
27,1993-08-06,450-30-8071,3.0,2064-11-25,cd
28,1993-11-21,863-97-2245,12.0,2057-10-19,cd
29,1996-01-21,085-84-6399,58.0,2035-08-04,checking
30,1960-09-03,168-31-0272,1.0,1973-08-22,savings
31,1999-12-01,823-39-2138,0.0,2009-05-28,savings
32,1976-08-16,140-90-4818,39.0,2032-07-20,cd
33,1997-08-26,986-06-7499,24.0,2059-01-06,cd
34,2013-10-31,516-24-0314,58.0,2093-03-24,cd
35,1952-07-30,470-06-0415,36.0,1965-06-14,savings
36,2018-07-08,198-17-0647,99.0,2033-12-14,savings
37,1981-09-25,991-68-0187,69.0,2003-03-27,savings
38,2010-03-21,509-93-1650,6.0,2052-12-10,cd
39,1980-12-26,810-29-3625,3.0,1996-02-20,cd
40,1974-08-31,291-98-5506,98.0,2012-07-21,savings
41,2000-08-17,560-38-9694,40.0,2040-05-04,cd
42,1990-03-04,705-50-4163,60.0,2007-06-13,checking
43,2021-11-30,722-56-5854,33.0,2059-03-17,savings
44,2006-07-09,275-51-1419,28.0,2014-09-12,savings
45,1982-05-27,931-24-3971,68.0,2040-02-06,cd
46,1997-06-12,826-66-1458,26.0,2074-03-19,checking
47,1972-12-24,279-98-4046,96.0,1981-12-29,savings
48,2015-04-22,286-05-1043,51.0,2068-01-19,checking
49,1999-10-20,494-36-1748,73.0,2015-09-07,checking
50,1991-09-08,066-09-7361,53.0,2056-06-24,cd
51,1955-02-06,038-52-1394,69.0,1985-06-28,savings
52,1973-12-08,099-84-9627,33.0,1997-04-12,checking
53,1960-04-09,716-06-9646,7.0,2029-08-02,savings
54,1977-01-03,403-47-1401,94.0,2047-09-12,cd
55,2000-06-11,735-11-6346,72.0,2023-02-23,savings
56,1952-06-22,326-18-7713,84.0,2004-01-28,cd
57,1992-01-13,356-96-5412,7.0,2020-09-03,savings
58,2018-09-01,770-07-1306,67.0,2039-09-07,savings
59,2016-10-20,119-05-0326,85.0,2084-07-25,cd
60,1989-02-22,294-50-1419,91.0,2058-02-01,checking
61,1966-02-22,040-18-6728,67.0,1987-06-26,checking
62,1982-11-12,719-02-2091,84.0,2037-12-22,savings
63,1971-09-30,396-60-6210,71.0,1985-02-04,savings
64,2015-01-21,566-06-7507,83.0,2070-05-04,savings
65,1976-06-24,632-10-8112,95.0,2003-10-02,checking
66,1965-04-25,929-11-8240,0.0,1990-01-24,cd
67,1994-09-09,392-50-0406,5.0,2064-12-16,cd
68,2003-06-04,169-24-7872,91.0,2063-07-19,cd
69,1969-03-28,063-26-5574,30.0,1975-03-10,checking
70,1960-06-18,786-80-0915,73.0,1986-01-27,cd
71,2002-04-13,634-88-5294,83.0,2060-01-23,checking
72,1973-03-13,371-57-0218,7.0,1992-01-07,savings
73,1952-10-25,226-86-6547,21.0,2000-11-25,cd
74,1957-04-14,086-36-1272,92.0,2026-06-23,cd
75,1956-06-11,708-41-3884,8.0,2021-04-03,checking
76,2023-11-01,339-04-4840,43.0,2103-03-20,savings
77,2010-05-12,514-57-1853,46.0,2062-01-19,cd
78,1971-03-06,020-16-6942,0.0,1978-09-22,checking
79,2017-09-15,628-96-2584,51.0,2050-11-21,checking
80,2015-06-14,763-71-6221,38.0,2080-09-22,cd
81,2023-11-15,299-00-8770,89.0,2034-12-14,savings
82,1979-12-12,085-93-3571,74.0,2030-06-02,cd
83,1984-10-04,875-04-4958,98.0,2048-05-09,checking
84,1952-11-19,165-25-5019,87.0,2006-10-21,checking
85,2003-01-04,911-34-2861,96.0,2024-06-27,checking
86,2009-11-22,787-21-6240,83.0,2059-07-14,savings
87,1960-08-29,026-22-8040,26.0,1991-01-15,checking
88,1957-05-03,327-09-3267,78.0,1978-10-08,savings
89,1980-08-18,627-48-7327,32.0,2050-05-21,checking
90,1963-07-22,395-31-7064,70.0,1974-02-22,savings
91,1957-04-19,627-23-0106,97.0,2015-02-01,cd
92,2003-03-25,310-31-9554,44.0,2016-11-29,savings
93,1968-09-21,596-66-1496,59.0,1982-03-22,cd
94,1960-11-12,958-12-8308,57.0,2007-05-18,savings
95,1952-05-01,607-97-1651,50.0,2019-07-09,cd
96,2021-02-13,870-80-0364,45.0,2031-03-19,savings
97,1963-10-08,773-33-2797,4.0,2033-06-07,cd
98,2005-03-30,846-64-7054,57.0,2059-07-20,checking
,,,,,
